

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

523.170  001.657  001.657: sourcing /Users/mario/.vim/bundle/vim-ruby/indent/ruby.vim
524.019  000.551  000.551: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/indent/ruby.vim
531.584  002.133  002.133: sourcing /Users/mario/.vim/bundle/vim-bundler/plugin/bundler.vim
535.430  003.140  003.140: sourcing /Users/mario/.vim/bundle/vim-rails/plugin/rails.vim
536.558  000.050  000.050: sourcing /Users/mario/.vim/bundle/switch.vim/ftplugin/ruby/switch.vim
536.850  000.037  000.037: sourcing /Users/mario/.vim/bundle/splitjoin.vim/ftplugin/ruby/splitjoin.vim
537.103  000.032  000.032: sourcing /Users/mario/.vim/bundle/sideways.vim/ftplugin/ruby/sideways.vim
538.967  001.416  001.416: sourcing /Users/mario/.vim/bundle/vim-ruby/ftplugin/ruby.vim
539.503  000.024  000.024: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/ftplugin/ruby.vim
541.544  001.135  001.135: sourcing /Users/mario/.vim/bundle/vim-rails/after/ftplugin/ruby/rails.vim
544.110  000.065  000.065: sourcing /Users/mario/.vim/bundle/vim-ruby/indent/ruby.vim
544.314  000.023  000.023: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/indent/ruby.vim
567.884  022.658  022.658: sourcing /Users/mario/.vim/bundle/vim-ruby/syntax/ruby.vim
569.873  000.762  000.762: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/syntax/ruby.vim
570.789  000.486  000.486: sourcing /Users/mario/.vim/bundle/gruvbox-material/after/syntax/ruby/gruvbox_material.vim
573.404  002.223  002.223: sourcing /Users/mario/.vim/bundle/vim-rails/after/syntax/ruby/rails.vim
1175.409  627.244: opening buffers
1176.176  000.768: BufEnter autocommands
1176.181  000.004: editing files in windows
1177.346  000.189  000.189: sourcing /Users/mario/.vim/bundle/vim-bookmarks/autoload/bm.vim
1178.434  000.178  000.178: sourcing /Users/mario/.vim/bundle/deoplete.nvim/autoload/deoplete/util.vim
1179.652  000.151  000.151: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/autoload/provider/pythonx.vim
1221.705  041.563  041.563: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/autoload/provider/python3.vim
1222.327  000.062  000.062: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/autoload/provider.vim
1322.083  000.176  000.176: sourcing /Users/mario/.vim/bundle/deoplete.nvim/autoload/deoplete/mapping.vim
1322.834  000.306  000.306: sourcing /Users/mario/.vim/bundle/deoplete.nvim/autoload/deoplete/handler.vim
1323.805  000.251  000.251: sourcing /Users/mario/.vim/bundle/vim-fetch/autoload/fetch.vim
1323.966  104.910: VimEnter autocommands
1323.969  000.003: UIEnter autocommands
1324.669  000.293  000.293: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/autoload/provider/clipboard.vim
1324.679  000.417: before starting main loop
1326.571  001.892: first screen update
1326.573  000.002: --- NVIM STARTED ---
